Date,Title,Url,Account Type,Author,Full Name,Full Text,X Author ID,X Verified,DateTime,original_text,day,gpt-4.1-mini_stance,Topic
12/9/2024 21:54,if i see one more tweet telling me that luigi mangione was an ivy league student im going to snap,http://twitter.com/flowers4josh/statuses/1866240083512135992,individual,flowers4josh,flowers4josh (rain ⊬ becca day!!),if i see one more tweet telling me that luigi mangione was an ivy league student im going to snap,1.74391e+18,False,12/9/2024 21:54,if i see one more tweet telling me that luigi mangione was an ivy league student im going to snap,12/9/2024,-1,0
12/9/2024 21:39,This Luigi dude is retarded. He had ALL the time in the world to leave the country and lie low for a while and he didn't?,http://twitter.com/Anglo_Admirer/statuses/1866236191584198926,individual,Anglo_Admirer,Anglo_Admirer (Anglo Admirer // 📄),This Luigi dude is retarded. He had ALL the time in the world to leave the country and lie low for a while and he didn't?,1.84445e+18,False,12/9/2024 21:39,This Luigi dude is retarded. He had ALL the time in the world to leave the country and lie low for a while and he didn't?,12/9/2024,-1,4
12/9/2024 21:26,@barbzforbernie luigi is a wrecked regular.,http://twitter.com/barbzforbernie/statuses/1866232982887153878,individual,barbzforbernie,barbzforbernie (andres),@barbzforbernie luigi is a wrecked regular.,37465848.0,False,12/9/2024 21:26,luigi is a wrecked regular.,12/9/2024,-1,3
12/9/2024 21:11,"RT @judytgolf The assassin Luigi Mangione, 26, who murdered the UnitedHealthcare CEO 

Mangione is originally from Towson, Maryland, and is an anti-capitalist former Ivy League student who attended a $40,000-a-year Baltimore private school. ⬇️ https://t.co/YXkOYYZNd2",http://twitter.com/kriswild_kris/statuses/1866229087821275284,individual,kriswild_kris,kriswild_kris (Kris),"RT @judytgolf The assassin Luigi Mangione, 26, who murdered the UnitedHealthcare CEO 

Mangione is originally from Towson, Maryland, and is an anti-capitalist former Ivy League student who attended a $40,000-a-year Baltimore private school. ⬇️ https://t.co/YXkOYYZNd2",1.59147e+18,False,12/9/2024 21:11,"The assassin Luigi Mangione, 26, who murdered the UnitedHealthcare CEO 

Mangione is originally from Towson, Maryland, and is an anti-capitalist former Ivy League student who attended a $40,000-a-year Baltimore private school. ⬇️",12/9/2024,-1,1
12/9/2024 20:53,"RT @AFpost Luigi Mangione wrote that “violence is neccesary” on an Amazon review of unibomber Ted Kaczynski’s manifesto.

Follow: @AFpost https://t.co/BFdxbQeKqa",http://twitter.com/ProtestMusica/statuses/1866224592047517721,individual,ProtestMusica,ProtestMusica (Protest & Musica 🎶 🌎 🇺🇦),"RT @AFpost Luigi Mangione wrote that “violence is neccesary” on an Amazon review of unibomber Ted Kaczynski’s manifesto.

Follow: @AFpost https://t.co/BFdxbQeKqa",239486395.0,False,12/9/2024 20:53,"Luigi Mangione wrote that “violence is neccesary” on an Amazon review of unibomber Ted Kaczynski’s manifesto.

Follow:",12/9/2024,-1,1
12/9/2024 20:25,Me to the people who arrested the UnitedHealthcare CEO assassin  https://t.co/hWaP3Th4Ca,http://twitter.com/BlazesAccount/statuses/1866217722649960900,individual,BlazesAccount,BlazesAccount (Blaze💚),Me to the people who arrested the UnitedHealthcare CEO assassin https://t.co/hWaP3Th4Ca,1.56142e+18,False,12/9/2024 20:25,Me to the people who arrested the UnitedHealthcare CEO assassin,12/9/2024,-1,9
12/9/2024 20:07,An ivy league alumni being embroiled in the murder of UnitedHealthcare CEO is appalling.,http://twitter.com/ColinPwrites/statuses/1866213024031469830,individual,ColinPwrites,ColinPwrites (Colin Penworth),An ivy league alumni being embroiled in the murder of UnitedHealthcare CEO is appalling.,2819445635.0,False,12/9/2024 20:07,An ivy league alumni being embroiled in the murder of UnitedHealthcare CEO is appalling.,12/9/2024,-1,9
12/9/2024 20:04,"“Mangione also subscribed to anti-capitalist and climate-change causes.”  

When are we going to hold the media and left wing politicians accountable for creating these people.

Luigi Mangione ID'd as suspect in UnitedHealthcare CEO Brian Thompson killing https://t.co/qZxd0xdwJd",http://twitter.com/RecalledtoLife_/statuses/1866212373473657340,individual,RecalledtoLife_,RecalledtoLife_ (Scott),"“Mangione also subscribed to anti-capitalist and climate-change causes.” 

When are we going to hold the media and left wing politicians accountable for creating these people.

Luigi Mangione ID'd as suspect in UnitedHealthcare CEO Brian Thompson killing https://t.co/qZxd0xdwJd",1.20342e+18,False,12/9/2024 20:04,"“Mangione also subscribed to anti-capitalist and climate-change causes.” 

When are we going to hold the media and left wing politicians accountable for creating these people.

Luigi Mangione ID'd as suspect in UnitedHealthcare CEO Brian Thompson killing",12/9/2024,-1,1
12/9/2024 20:03,"Justice for $brian 

If not for anything think abt healthcare 

How tf re u guys buying the token of a killer 

Send $brian to at least half of $luigi mc https://t.co/l8u4GvN3hY",http://twitter.com/iwuchukwuchide1/statuses/1866212139163083197,individual,iwuchukwuchide1,iwuchukwuchide1 (Iwuemma),"Justice for $brian 

If not for anything think abt healthcare 

How tf re u guys buying the token of a killer 

Send $brian to at least half of $luigi mc https://t.co/l8u4GvN3hY",1.26749e+18,True,12/9/2024 20:03,"Justice for $brian 

If not for anything think abt healthcare 

How tf re u guys buying the token of a killer 

Send $brian to at least half of $luigi mc",12/9/2024,-1,7
12/9/2024 19:58,Oh it's so over for this guy 💀 https://t.co/tmwRakVa1c,http://twitter.com/AJBurlap/statuses/1866210774739550606,individual,AJBurlap,AJBurlap (Alex Burley),Oh it's so over for this guy 💀 https://t.co/tmwRakVa1c,1.24443e+18,False,12/9/2024 19:58,Oh it's so over for this guy 💀,12/9/2024,-1,0
