Topic,Count,Name,Representation,Representative_Docs
0,464,0_luigimangione_mangioni_mangiones_nick,"['luigimangione', 'mangioni', 'mangiones', 'nick', 'smart', 'killer', 'idolizing', 'hero', 'guy', 'mangina']","['Luigi Mangione is no more of a “hero” then this guy.', 'What is wrong with you people\r\n\r\nCan someone on the left explain why they love Luigi mangione so much? \r\n\r\nBoth men and women on the left want to give the guy a hand job. \r\n\r\nPlease make it make sense.', ""Luigi Mangione is NOT a hero, he's a cold blooded killer and a fucking coward, he shot a man 3 times in the back then ran away like a pussy, he couldn't be man enough to own what he did. When he is found guilty and sent to prison Big Bubba is going to make him his bitch.""]"
1,428,1_luigimangione_mario_pizza_stan,"['luigimangione', 'mario', 'pizza', 'stan', 'said', 'guy', 'right', 'fuck', 'face', 'fucking']","['okay these thirst traps for luigi getting out of hand i jus saw a whole ass cum tribute in this nigga name on my TL fuck is wrong with you heathen ass niggas yo!!', 'IM TIRED OF SEEING LUIGI ON MY TL!!!!!! IM A LESBIAN TWITTER I FIND HIL UGLY!!!!!!!! IDC ABT HIM ANYMORE I DONT WANNA KNOW EVERY DETAIL OF HIS PERSONAL LIFE.', 'Luigi is an ugly ass bitch']"
2,412,2_assassin_killer_mangioni_murderer,"['assassin', 'killer', 'mangioni', 'murderer', 'mayor', 'police', 'murdering', 'justice', 'eric', 'case']","['NYC Mayor Eric Adams on his decision to escort Luigi Mangione in Manhattan:\r\n\r\n“I’m not going to just allow him into the city. I wanted to look him in the eye and say you carried out this terroristic act in my city, the city that the people of New York love”', 'NYC Mayor on Luigi Mangione’s Hollywood spectacle of a perp walk:\r\n\r\n“I’m not going to just allow him into the city. I wanted to look him in the eye and stated, ‘you carried out this terroristic act in my city, the city that the people of New York love.’”', 'Mayor Eric Adams explains why he was present when Luigi Mangione arrived in New York:\r\n\r\n“I’m not going to just allow him to come into our city. I wanted to look him in the eye and stated that you carried out this terrorist act in my city, the city that the people of New York love.…']"
3,412,3_mario_cowardly_idiot_coward,"['mario', 'cowardly', 'idiot', 'coward', 'guy', 'shooter', 'right', 'murderer', 'think', 'fucking']","['no luigi murdered some one in cold blood by shooting him in the back like a coward.', 'Luigi is a cold blooded murderer who shot someone in the back.', 'Or the Luigi guy who shot a man in the back']"
4,386,4_case_coward_murderer_shooters,"['case', 'coward', 'murderer', 'shooters', 'killer', 'else', 'guilty', 'said', 'murderers', 'innocent']","['Dude, I think Luigi should get the death penalty.', 'Death penalty to cold blood murder and terrorist like Luigi!', 'Well I think that Luigi is a murderer and should get the death penalty']"
5,362,5_mario_murderers_hero_insane,"['mario', 'murderers', 'hero', 'insane', 'guy', 'demoncrats', 'retarded', 'demoncrat', 'face', 'crazy']","['Luigi looks, acts like a crazed Demoncrat! Super Mario found with murder weapon, manifesto, left matching DNA, Fingerprints, video evidence! Demoncrats sure 💕 their murderers! Even Dougie is aroused! Dimm women and gays are swooning ! He must be a modern twisted version of Robin…', 'Luigi looks, acts like a crazed 🤪Demoncrat! Super Mario found with murder weapon, manifesto, left matching DNA, Fingerprints, video evidence! Demoncrats sure 💕  their murderers! Even Dougie is aroused! Dimm women and gays are swooning ! He must be a modern twisted version of…', 'Luigi looks, acts like a crazed Demoncrat! Super Mario found with murder weapon, manifesto, left matching DNA, Fingerprints, video evidence! Demoncrats sure 💕 ￼ their murderers! Even Dougie is aroused! Dimm women and gays are swooning ! He must be a modern twisted version of…']"
6,342,6_shooter_hero_think_coward,"['shooter', 'hero', 'think', 'coward', 'assassin', 'guy', 'murderer', 'deserved', 'shit', 'deserve']","['Someone killed $Brian Thompson \r\n\r\nBrian has a family and two innocent children 🧒 so he deserves justice..\r\nJustice for #BrianThompson \r\n\r\nCa : EkNMMRhj2zArFyGAxsRhYy5UyeE3kwQSgMQpUfoYpump', ""Everyone who works for the same company, deserves to be murdered in cold blood too. Right?\r\nTell his wife and kids that they deserved this.\r\nAnd you can't name even one person that Brian Thompson himself killed or directed to die."", 'Brian Thompson was a person to whether you like it or not and you all are making a hero out of his killer and celebrating his death . Do you have any sympathy for his two children and his wife?']"
7,340,7_brianthompson_shooter_killer_assassin,"['brianthompson', 'shooter', 'killer', 'assassin', 'hope', 'gunman', 'man', 'said', 'ceos', 'also']","['🚨 BREAKING: Trump makes his first public comments on the assassination of the UnitedHealthcare CEO:\r\n\r\n""I think it\'s really terrible that some people seem to admire him... That was a terrible thing. It was cold-blooded... and how people can like this guy — that\'s a sickness.""', '🚨 BREAKING: Trump makes his first public comments on the assassination of the UnitedHealthcare CEO:\r\n""I think it\'s really terrible that some people seem to admire him... That was a terrible thing. It was cold-blooded... and how people can like this guy.', ""Culture of life? UnitedHealthcare CEO's murder mocked and celebrated by far-left      These people are sick!!""]"
8,339,8_luigimangione_assassin_killer_murderer,"['luigimangione', 'assassin', 'killer', 'murderer', 'hero', 'shooter', 'suspect', 'trump', 'blah', 'julia']","['🚨 #BREAKING: Far leftist identified as the suspect in the assassınation of UnitedHealthcare CEO Brian Thompson\r\n\r\nIs ANYONE surprised at all?!\r\n\r\nLuigi Mangione, is an anti-capitalist climate change activist and former Ivy League student who idolized UNABOMBER Ted Kaczynski, per New…', '[your]NEWS: Ex-Ivy League Student Arrested in Connection with UnitedHealthcare CEO Brian Thompson’s Murder \r\n\r\nHe is known for his ""Anti-Capitalist"" Beliefs...He is just an Ivy League COMMUNIST!  These schools just BREED violent people.\r\n\r\n via', ""BREAKING: The suspect in the assassination of the UnitedHealthcare CEO has been ID'd as Luigi Mangione (26) former Ivy Leaguer & anti-capitalist who shared Unabomber quotes online\r\n\r\nIvy league universities are producing radical domestic terrorists? I did not see that coming""]"
9,339,9_mario_guy_right_fuck,"['mario', 'guy', 'right', 'fuck', 'killed', 'way', 'also', 'crazed', 'think', 'man']","['Luigi grew up in privilege, was never even a customer of UHC, apparently did get treatment for his back.\r\n\r\nBrian Thompson grew up middle class and made his own way.\r\n\r\nLiberals are cheering on a coddled rich kid who murdered a good guy who worked for everything he had.', 'Luigi looks, acts like a crazed Demoncrat! Super Mario found with murder weapon, manifesto, left matching DNA, Fingerprints, video evidence! Super Mario had health insurance and came from a wealthy family! Privileged, liberal and indoctrinated!  Anyone  in NYC Jury who voted for…', 'Luigi looks, acts like a crazed Demoncrat! Super Mario found with murder weapon, manifesto, left matching DNA, Fingerprints, video evidence! Super Mario had health insurance and came from a wealthy family! Privileged, liberal, entitled and indoctrinated!  Many evil 😈 are making…']"
