Topic,Count,Name,Representation,Representative_Docs
0,165,0_luigimangione_luigimangioni_luigicrave_mangiones,"['luigimangione', 'luigimangioni', 'luigicrave', 'mangiones', 'freeluigimangione', 'wondrous', 'stan', 'already', 'man', 'hope']","[""Anyone on Telegram? Please make a Free Luigi Mangione group, I'll join #UnitedHealthcareAssassin #FreeLuigiMangione #luigimangioni"", 'Elon Musk has restored the wondrous Luigi Mangione’s X account following immense backlash!  #LuigiMangione #LuigiCrave', 'Luigi Mangione arrives at New York State Supreme Court in New York.\n\n #LuigiMangione #FreeLuigi #FreeLuigiMangione \n#Christmas2024 #Christmas']"
1,91,1_mario_grillzzzz_cope_magione,"['mario', 'grillzzzz', 'cope', 'magione', 'byeee', 'always', 'zeitgeist', 'right', 'whatever', 'next']","['Damn all the girls be out here on this app thirsting for Luigi 😂💀\n\nJust shows if you’re rich and a bad boy with a good physique girls don’t care about anything else 😂', 'WE IN THE MUSHROOM KINGDOM\nWE RIDING ON YOSHIS. THATS A DINOSAUR BTW\nBOWSER AINT THE ONLY SPITTING FIRE\nFREE LUIGI, IF YOU KNOW YOU KNOW\n\nGANGSTA GRILLZZZZ', ""Luigi, don't listen to the haters,\nI love you, and you love me. We do not owe anyone anything. Our family is who matters. If you get likes and good comments great, if you get hate then whatever because THEY DON'T MATTER. I love you""]"
2,85,2_villains_heroes_cause_hero,"['villains', 'heroes', 'cause', 'hero', 'billionaires', 'brave', 'italian', 'fucking', 'true', 'snitched']","['As a fellow Italian-American, I think we must immediately replace Columbus Day with real Italian-American hero Luigi Mangione Day 🇮🇹🔥🤌', 'Luigi Mangione did not have any family present in the courtroom, but about 24 women waited in the cold for public seats in the courtroom to support him, many wearing face masks and some appearing visibly emotional as he entered the courtroom 👀', 'Luigi Mangione had about 24 women at his arraignment in support of him, they sat in the public seats of the courtroom today\n\n""The high-profile defendant appeared to not have family in the courtroom. But about two dozen women, who waited in line in the frigid cold for public seats…']"
3,78,3_hero_villain_aaron_said,"['hero', 'villain', 'aaron', 'said', 'much', 'shooter', 'money', 'guy', 'man', 'fine']","['Luigi Mangione is a real icon\n\n- Italian American\n- Ivy League\n- tech bro\n- shredded\n- goes off the grid for months\n- re-surfaces to kill a CEO\n- leaves a manifesto\n- arrested in a McDonalds\n- martyred by BigPharma\n\nMartin Scorsese couldn’t have made a hit like this if he tried', 'Luigi Mangione’s alleged killing of a CEO struck fear into the hearts of the kleptocratic US elite. But for real change to occur, the ruling class must be made to fear the power of an organised working class. Mangione’s action against a murderous system was an expression of the…', '“Frankly, these parasites simply had it coming.”\n\n- Manifesto of Luigi Mangione \n\nSome are saying he’s not left wing. Ok.\n\nMany argue his methods are ultimately no solution. Myself included.\n\nFine. \n\nBut if the ‘left’ spoke like THIS every now and then, it might stop losing.']"
4,76,4_billionaire_hero_lauded_care,"['billionaire', 'hero', 'lauded', 'care', 'big', 'spent', 'seen', 'yet', 'trump', 'case']","['Luigi Mangione is not a terrorist. The Insurance extortion racketeers do acts of terrorism causing unnecessary premature deaths of thousands of American people yet the NYPD are far too weak, cowardly and subservient to arrest and charge the CEO terrorists with acts of terrorism.', 'The US has NO IDEA what a terrorist is, if Luigi Mangione is one 🤡\n\nIf Luigi Mangione is terrorist then private health insurance companies are a unit of government, according to the US definition - which says it ALL\n\nWTF is going on, wonders  🫠', 'Luigi Mangione charged with #terrorism? Since when is an exploitative, greedy private health insurance company making billions in profit by denying critical healthcare a unit of govt? How’s he a terrorist but mass & presidential shooters are not? \n\nMake this make sense…']"
5,76,5_crybaby_good_youre_fag,"['crybaby', 'good', 'youre', 'fag', 'guy', 'cutie', 'great', 'fuck', 'im', 'supervillian']","[""It's literally not the same guy.They're so quick to jump on him it's almost as if it had all been a cover story for what really happened.Honestly it looks like a hit job. Luigi didn't do it & it's more than reasonable doubt.Eyebrows don't match, you must acquit!"", 'Young Thug had Mariah The Scientist waiting for him outside the walls and Devin Haneys future wife, at the same time!\n\nLuigi has college educated and sheltered suburban women writing love letters because he bodied someone\n\nSo interesting to see it play out', 'Posting on Goodreads implies he was pining after some bookish 6/10 girl he probably met freshman year.\nPosting long form reviews of Uncle Ted on Goodreads also implies he was unsuccessful.\nLuigi is relatable and endearing to me for TOTALLY DIFFERENT REASONS than the leftoids.']"
6,76,6_poor_fucking_care_comes,"['poor', 'fucking', 'care', 'comes', 'kill', 'get', 'billionaire', 'killed', 'free', 'need']","['how many children lost theyr father due to the ""delay, deny, defend"" policy without the likes of you giving a fuck, or even question the way the system was working? even the average commie hating american are chearing for Luigi and that speaks even more than his action itself.', 'In fact yes it does. In our history we have killed for far less.\n\nOur troops killed people all the time for harming us. Luigi is a fucking hero, more so than our troops are. Also, if I was murdering people by not giving them health care than yes.', 'Yes people would be mad at Luigi if he murdered someone that’s innocent! But the thing is that the greedy CEO that got killed, was responsible for countless deaths after HIS company denied health insurance claims, just so they could shove more money into their pockets.']"
7,69,7_mario_psyop_poor_mindset,"['mario', 'psyop', 'poor', 'mindset', 'think', 'screamed', 'right', 'wonder', 'really', 'iinfantini']","['somebody said I want my mom to talk to my family about me the way luigi’s lawyer is talking to the media and I screamed bc I have a capricorn mama so she was gon do that anyway', 'I love watching these mouthpieces crash out about Luigi. Keep showing the people what you’re really about.\n\nBoohoo, someone died. Wouldn’t trust any of these mfs to be in charge of the trolley’s lever.', 'I just got one-shotted by mixing up ""interpolation"" with ""interpellation"" while texting the GC my thoughts on how Luigi isn\'t the psyop y\'all think he is']"
8,61,8_killer_murderer_hero_killed,"['killer', 'murderer', 'hero', 'killed', 'fuck', 'crack', 'lives', 'right', 'care', 'corrupt']","['A business made on the back of poor, sick and hurt people. A business which thousands and thousands of innocent people. Brian Thompson is a mass murderer just because of his business. The idea of profit ruins this world. Even healthcare is a matter of profit in USA…', ""The exquisitely assassinated CEO Brian Thompson had 'zero remorse' for taking the lives of hundreds of thousands of Americans: So stop obfusdacting and diverting attention away from that mass-murderer Brian Thompson who was a cold-blooded killer uncannily akin to Adolf Eichmann."", ""The CEO Brian Thompson had 'zero remorse' for taking the lives of hundreds of thousands of Americans who will not be with their 'loved ones' at Christmas because they were mass-murdered by Brian Thompson. So think about those countless thousands of families as well.""]"
9,57,9_mangioni_alvin_daniel_stooge,"['mangioni', 'alvin', 'daniel', 'stooge', 'god', 'shooter', 'yelled', 'storyline', 'man', 'case']","['🚨Legal fund for Luigi Mangione 🫣\nHe’s dealing with FEDERAL court now.\nPotential death penalty case.', '🚨Legal fund for Luigi Mangione 🫣\nHe’s dealing with FEDERAL court now!', '🚨Legal fund for Luigi Mangione 🫣\nHe’s dealing with FEDERAL court now.']"
