Topic,Count,Name,Representation,Representative_Docs
0,1247,0_luigicrave_luigimangione_mangiones_italian,"['luigicrave', 'luigimangione', 'mangiones', 'italian', 'happy', 'loved', 'hero', 'god', 'chill', 'sister']","['Official Free Luigi Mangione Shirt\r\nBUY NOW: \r\n#quariumshirt', 'i was gonna repost something like this to my facebook but i think the old people on there would think i was actually saying i was friends w luigi mangione (i was, and we were hanging out between the hours of 6am and 6pm on 12/04/24)', 'It was great seeing my friend Luigi Mangione in Tulsa on 12-4-2024 between 6am and 6pm']"
1,1019,1_mario_god_guy_right,"['mario', 'god', 'guy', 'right', 'man', 'thirsting', 'poor', 'yall', 'next', 'fucking']","['Where is Luigi when u need him', 'Where’s Luigi when you need him?', 'We need a Luigi and we need one right now']"
2,836,2_hero_lives_guy_said,"['hero', 'lives', 'guy', 'said', 'daniel', 'man', 'fucking', 'shooter', 'killer', 'killed']","['Luigi Mangione going into his extradition hearing. \r\n\r\n“It is completely unjust and an insult to the intelligence of the American people and their lived experiences “', '“This is completely out of touch and an insult to the intelligence of the American people and their lived experience.”-Luigi Mangione', 'Luigi Mangione shouts a message to the American people on his way to court:\r\n\r\n“This is completely unjust and an insult to the intelligence of the American people and their lived experience.”']"
3,808,3_magione_god_said_man,"['magione', 'god', 'said', 'man', 'much', 'italian', 'guy', 'best', 'fuck', 'right']","['They like Luigi too', 'I like luigi', 'why is luigi so hot']"
4,807,4_mayor_daniel_hero_guy,"['mayor', 'daniel', 'hero', 'guy', 'man', 'right', 'much', 'saying', 'also', 'take']","['I think Luigi is innocent', 'He is innocent $luigi', ""Luigi is innocent. It's not the same guy!""]"
5,760,5_billionaires_hero_elites_rich,"['billionaires', 'hero', 'elites', 'rich', 'trump', 'everyone', 'right', 'much', 'penny', 'guy']","['A lot of people who support rittenhouse support Luigi, not a political issue it’s a class issue', ""Let's make the class war trend because I'm tired of these big influencers trying to erase the class war and saying what Luigi Mangione did wasn't ok when they allow a CEO And many other rich men murder millions of working class people. \r\n\r\nEnough with licking the boot and burn them"", 'people are saying that Luigi has started a class war, he has not. There has been a class war for years now, the rich have been killing and destroying the lives of the working class. Its just now that the poor are fighting back.']"
6,706,6_luigimangione_pnut_already_muigi,"['luigimangione', 'pnut', 'already', 'muigi', 'attention', 'news', 'community', 'next', 'million', 'memecoin']","['$luigi is a movement, and the next cult\r\n\r\n$luigi and #luigimangione\r\n5XyKkFaJpAmsH4Tf2EFj3S61W3hC5cJhxNZQQ5h1pump', 'JOIN THE MOVEMENT!\r\n\r\nPUMP THE COIN TO FREE LUIGI:', '$luigi is a movement.\r\nThe next cult. \r\nBuy the token and support the cause. \r\n$luigi to flip UnitedHealthcare\r\n\r\n#luigimangione\r\n5XyKkFaJpAmsH4Tf2EFj3S61W3hC5cJhxNZQQ5h1pump']"
7,692,7_fucking_right_true_fuck,"['fucking', 'right', 'true', 'fuck', 'also', 'jesus', 'shit', 'still', 'hope', 'joker']","[""Luigi is not $hero we want, it's $hero we need."", 'And this is why Luigi is a hero', 'Luigi, the hero of the people.']"
8,678,8_hero_italian_john_good,"['hero', 'italian', 'john', 'good', 'story', 'way', 'guy', 'brave', 'last', 'right']","['In this house, Luigi Mangione is a hero, end of story!', 'And in this house, Luigi Mangione is a hero! End of story!', 'In this house, Luigi Mangione is a hero, end of story.']"
9,668,9_mario_guy_poor_everyone,"['mario', 'guy', 'poor', 'everyone', 'right', 'man', 'really', 'bc', 'much', 'instead']","['luigi did nothing wrong', 'Luigi did nothing wrong.', 'Luigi got the wrong guy']"
