Topic,Count,Name,Representation,Representative_Docs
0,429,0_mario_guy_face_man,"['mario', 'guy', 'face', 'man', 'probably', 'pretty', 'way', 'either', 'mcdonald', 'right']","['Luigi’s going to prison and there’s nothing you can do', 'They are going to love Luigi in prison.', 'Luigi is either gonna get raped in prison for life or get the death penalty']"
1,387,1_luigimangione_mangioni_manifesto_shooter,"['luigimangione', 'mangioni', 'manifesto', 'shooter', 'hero', 'fucking', 'killer', 'right', 'yet', 'coward']","[""Luigi Mangione is the alleged (not convicted) killer of the CEO of United Healthcare. Some are calling him a hero. In my book, a hero does all they can to make things better and help people.\n\nHis actions did niether, and I won't hold my breath that they will."", 'Luigi Mangione, will never see freedom again, he’ll die in prison like his hero the Unabomber', 'Luigi Mangione is a coward who shot a man in the back instead of stepping up to him like a real man and fighting him and beating his ass. At least the man would live another day, but no killed him for what? Now you have these idiots on social media glorifying his actions. FOH']"
2,378,2_killer_murderer_shooter_allegedly,"['killer', 'murderer', 'shooter', 'allegedly', 'killed', 'crazy', 'justice', 'kill', 'trump', 'terrorist']","['He shot 3 white people you idiot. It was self defense. Luigi shot in cold blood murder. \n\nFFS I can’t believe people as stupid as you get to vote. \n\nNo, Luigi deserves to be locked up.', 'So you support murdering people in cold blood? Hope you don’t piss someone off whose feel about you the way Luigi did about Brian. \n\nFunny though, y’all bashed Kyle Rittenhouse for self defense and killing two horrible and vile people, but you think Luigi is a hero for…', 'no luigi murdered some one in cold blood by shooting him in the back like a coward.']"
3,312,3_murderer_ceos_killer_killed,"['murderer', 'ceos', 'killer', 'killed', 'dead', 'god', 'guy', 'hell', 'hope', 'suspect']","['Today on my  show 🎙️\n\nThe UnitedHealthcare CEO assassin has been charged with first-degree murder in NYC. Good.\n\nBut a disturbing new poll shows shocking support from young people for the murder. Something has gone horribly wrong in America.', ""Culture of life? UnitedHealthcare CEO's murder mocked and celebrated by far-left These people are sick!!"", 'Taylor Lorenz defends United Healthcare CEO Brian Thompson’s murder in sickening post: ‘People wonder why we want these executives dead’']"
4,286,4_luigimangione_said_get_man,"['luigimangione', 'said', 'get', 'man', 'hero', 'guy', 'shooter', 'blah', 'cold', 'killer']","['Trump SLAMS those idolizing UnitedHealth CEO assassin Luigi Mangione:\n\n""I think it\'s a terrible thing. It\'s really terrible some people seem to admire him... How people can like this guy is a sickness.""', '🚨 TRUMP: “I think it’s terrible that some people seem to admire Luigi Mangione. It’s not specific to the United Healthcare CEO, it’s just an overall sickness, not a specific sickness. It was cold blooded. How people can like this guy is a sickness.”', 'Donald Trump on the United Healthcare CEO sho*ter Luigi Mangione:\n\n""I think it\'s a terrible thing. It\'s really terrible some people seem to admire him... How people can like this guy is a sickness.""']"
5,219,5_man_next_life_hero,"['man', 'next', 'life', 'hero', 'said', 'murderer', 'guy', 'fuck', 'magione', 'care']","['i haven’t said shit about that Luigi case because i wanted all the facts and now that I have them . Why people are gunning for a MURDERER to be free is insane to me ! He killed a man that had a family , the healthcare system is still fucked up like ..', ""No. You don't. We want the CEOs of murdering health insurance companies locked up. Not Luigi."", ""Luigi wasn't even a member of United Health insurance.\n\nHe was from a wealthy family, went to very expensive private school & then Ivy league college. You think he was not getting health care? His family filed a missing person report on him. They had $$$.\n\nHis story is bull.""]"
6,203,6_case_criminal_murders_innocent,"['case', 'criminal', 'murders', 'innocent', 'murderer', 'killer', 'protect', 'guilty', 'justice', 'murdering']","['Daniel Penny is a million times more a hero than Luigi Mangione.', 'Daniel Penny & Kyle Rittenhouse are heroes.\nLuigi Mangione is a cold blooded murderer.', 'CNN just compared Daniel Penny to Luigi Mangione, ""Tell me, which vigilante action is okay?""\n\nDaniel Penny is an American hero!']"
7,194,7_case_wonder_think_shooters,"['case', 'wonder', 'think', 'shooters', 'right', 'sympathy', 'murderer', 'else', 'lawyer', 'said']","['Glad Adams did it. Mangione *should* get the death penalty. He shot a man in the back.', 'I wonder how those people in NY cheering-cheering for Mangione like he’s a hero think about if they saw other New Yorkers cheering for the guy who burned to death that lady on the subway. You would think they were sick, right?\n\nWell, that’s what YOU look like to rational people.', 'A complete mischaracterization.\n\nMangione killed someone in cold blood as a political message. This is textbook terrorism, no matter how much you dislike the healthcare or insurance industry.\n\nRittenhouse defended himself against 3 people that attacked him. This is self-defense.']"
8,186,8_assassin_murderer_killer_lorenz,"['assassin', 'murderer', 'killer', 'lorenz', 'right', 'man', 'deserved', 'somehow', 'happened', 'husband']","['I don’t understand why people are celebrating Brian Thompson being killed because at the end of the day, he’s dead. His kids don’t have any father. That 26-year-old Luigi Mangione is going to jail for the rest of his life, and the healthcare system is still the same today — the…', ""Everyone who works for the same company, deserves to be murdered in cold blood too. Right?\nTell his wife and kids that they deserved this.\nAnd you can't name even one person that Brian Thompson himself killed or directed to die."", 'Brian Thompson was a person to whether you like it or not and you all are making a hero out of his killer and celebrating his death . Do you have any sympathy for his two children and his wife?']"
9,90,9_killed_mob_assassinated_kill,"['killed', 'mob', 'assassinated', 'kill', 'acted', 'case', 'innocent', 'rich', 'pedo', 'gun']","[""Lol. No, Kyle did what he did in self defense.\nLuigi murdered someone in cold blood.\nThey aren't even in the same league. However Kyle is a much better shot."", 'Kyle = Self Defense\nLuigi = Back shooting murderer', 'Luigi shot a man from behind. \n\nKyle Rittenhouse defended his on life.']"
